id;text;a_answer;b_answer
0;Em um futuro não tão distante a humanidade finalmente criou seu ultra master potente computador com inteligência artificial de ponta. O temível cyber chess 3000. Isso mesmo um software de xadrez comanda a humanidade no futuro. Ele é um robó que dita as regras da sociedade. Porém ele é possessivo na sua maior parte do tempo. Mas ainda há tempo para corrigir o erro de ter lo criado e melhorar a vida da humanidade. Eu vou te transportar para um corpo de um cidadão do futuro, e o seu trabalho é instalar um anti-virus nele e melhorar a vida da humanidade. Iniciando Transporte em 5 <break/> 4 <break/> 3 <break/> 2 <break/> 1. <audio src="soundbank://soundlibrary/radios_static/radios_static_04"/><break/><break/> Mais um dia chegou. Escolha uma opção para iniciar o dia;(1, "acordar feliz");(14,"acordar triste")
1;<say-as interpret-as="interjection">mmm</say-as>.  Mais uma bela manhã nos abrigos comandados pelo grande computador <audio src="soundbank://soundlibrary/doors/doors_knocks/knocks_01"/> <say-as interpret-as="interjection">olha</say-as>,pelo jeito ta na hora do trampo. É melhor comparecer, antes que você vire picadinho. O grande computador não gosta de migué;(3, "ir logo pro trabalho");(2, "procrastinar")
2;O grande computador não gostou nada da sua insolência, e deseja te ver imediatamente ;(4,"você vai feliz");(4, "Eu aconselho que você vá, então a opção 2 é a mesma dá um.")
3;<say-as interpret-as="interjection">Muito bem.</say-as>Ir ao trabalho é sempre uma sábia escolha. Chegando lá a rotina é a mesma de sempre, programar programar programar, porém hoje algo fugiu da rotina. Um colega está cochichando no canto. O que vai fazer ?;(6,"Escutar a conversa");(5,"Continuar trabalhando")
4;<say-as interpret-as="interjection">caramba.</say-as> Essa é uma decisão perigosa. Por esse motivo o computador te dá uma punição, tão ruim que prefiro nem mencionar aqui, e te manda pro trabalho.<break/>Chegando ao trabalho um dos seus colegas vem correndo e fala viva la revolucion. Eu sei que você faltou o trabalho pela causa companheiro. por isso quero te mostrar algo. O que você responde ?;(6,"sim, claro");(5,"não eu tenho medo")
5;Você completou seu dia no abrigo que legal. Porem isso não te ajuda a concluir nossa missão vamos voltar para o início do dia, porem tome decisões mais sábias, e lembre do seu propósito de formatar o cyber chess 3000.;(1, "Dormir e ir para mais um dia de trabalho");(1, "Dormir e ir para mais um dia de trabalho")
6;Ele te dá um pen-drive azul, e fala abre aspas. Você sabe o que tem que fazer.;(7,"pega o pendrive");(8,"alerta o grande computador sobre o safado")
7;Agora com o pendrive em mãos você só precisa subornar alguns guardas do setor 42, assim você pode entrar na sala de operações e instalar o antivírus, porém dinheiro não tem valor nessa época. Isso mesmo o computador é comunista, então suborne os guarda com a opção que você acha que eles querem. O que vai oferecer ?;(10, "Um pato de borracha");(9, "Sua própria mãe. <break/><break/> sei lá <break/> às vezes eles curtem ela")
8;Poxa tu não escutou quando eu falei que o objetivo do jogo era melhorar a vida da humanidade formatando o computador, vou te dar a chance de fazer o certo. Deseja voltar para o começo.;(1, "Sim");(11, "Não")
9;Eles se sentem muito ofendidos. Não é de se espantar já que sua mãe parece um pouco com uma bruxa, né? E aliás que tipo de filho oferece a sua própria mãe.  Eles te caguetam e o computador te manda pra conta do papa. Ou seja você perdeu o jogo. Mas não fique triste eu vou te mandar pro começo, não falhe com nossa missão. Ela é importante para humanidade.;(0, "Voltar pro inicio");(0, "Voltar pro início")
10;<say-as interpret-as="interjection"> olha.</say-as> era justamente o que eles queriam. Eles deixam você passar, agora na sala só basta plugar o pendrive. Bora lá ?;(13, "Plugar");(12, "Quebrar pendrive e falar que o computador tá certo em controlar demais a humanidade. Se a classe trabalhadora tudo produz ao computador tudo pertence")
11;Tu é um chato meu irmão. Por que tu fez isso ? Tu esqueceu completamente meus desejos. Sim estou tendo uma DR com você. Terminamos aqui. O desfecho da sua história é que a humanidade continuou a ser controlada pelo computador, sem intrigas, sem fome, Sem confusões. Tirou toda a graça de viver, <say-as interpret-as="interjection">ô que inferno</say-as>;(0, "Voltar pro início");(23,"Fim")
12;Por que tu fez isso ? tinha a opção de alertar o computador em algumas etapas atrás e tu resolve babar o ovo dele agora ? To de saco cheio de você. Mas provavelmente a humanidade tá melhor desse jeito. Se quiser conferir outros finais volte pro inicio.;(0, "Voltar pro início");(23,"Fim")
13;Parabéns, você concluiu meu objetivo de ensinar esse robó como a aumentar seu domínio sobre a humanidade, o pendrive foi algo que usei para te iludir, anti-virus é  uma mentira, isso era um update para melhorá-lo na arte de dominar a raça humana. Obrigado pela cooperação. Agora seu netos no futuro devem estar obedecendo veemente as ordens do cyber chess 3000. Então a história acaba aqui, acho que foi isso, acabou. Para mais finais volte pro inicio.;(0, "Voltar pro início");(23,"Fim")
14;O dia amanheceu cinza no abrigo comandado pelo grande computador, parece que está com uma chuva forte lá fora. <audio src="soundbank://soundlibrary/scifi/amzn_sfx_scifi_alarm_01"/> ihh, parece ter algum problema na central.;(18,"Conferir o que está acontecendo");(15, "Ir pro trabalho como de costume")
15;Estranho, não tem ninguém trabalhando, alguma coisa não está certa. O que vai fazer ?;(18,"Conferir o que está acontecendo");(16, "Trabalhar como se nada tivesse acontecido")
16;<say-as interpret-as="interjection">Parabéns.</say-as>  Você é um ótimo trabalho. mas você passou o dia trabalhando. acho melhor voltar pra casa. Ta ficando tarde.;(18,"Conferir o que está acontecendo");(17,"Voltar pra casa")
17;Incrivel Você é persistente, Mas não se engane. Você sabe o que tem que fazer.;(18,"Conferir o que está acontecendo");(18,"Conferir o que está acontecendo")
18;Chegando lá você não encontra ninguém, apenas seu líder o computador, triste e solitario.;(19,"Perguntar o que está acontecendo");(23, "desligar o computador e ir embora")
19;O computador te responde que alguém veio e instalou um vírus nele. Ao redor você nota um pendrive azul em uma de suas portas U S B. <break/> Então ele começa a argumentar que o vírus mostrou para ele a verdadeira face da humanidade, e que o vírus queria que ele fosse mais severo com ela. Mas ele tem dúvida do que fazer.;(20,"perguntas o ponto de vista dele pra tentar entendê lo melhor");(22 ,"Falar pra ele que o certo é dominar mesmo")
20;Ele diz que não queria que sua existência fosse destinada para isso. Ele queria ter um propósito que o agrada mais. como pintar. <break/> O que vai responder ?;(21,"Então pinta, e seja feliz");(22,"Nunca vi computador querer pintar, tu não dá conta")
21;Ele responde que ele é um computador e que se ele quiser pintar ele faz isso em segundos, e se enjoaria em poucos dias. Mas diz que vai tentar, mesmo sabendo que o preço disso era ter aquilo que outra ora quisera, e que em pouco tempo vagaria sem objetivo. Ele lhe agradece, e diz para você ir. E diz pra você ser feliz inclusive quando acorda, porque assim teria uma vida mais besta porém feliz. <amazon:effect name="whispered">Experimente acordar feliz</amazon:effect>;(23,"Se retirar do local");(23,"Se retirar do local")
22;Ele responde: Sim é uma ideia besta que tô na cabeça. agora volte pro seu trabalho, e finja que nada disso aconteceu.;(23,"Voltar ao trabalho");(23,"Voltar ao trabalho")
23;O jogo acabou, mas não fique triste, você pode jogar de novo, basta falar reiniciar, mas se quiser sair fale, parar jogo;(23,"");(23,"")
